Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Bahrain,2020-07-29 18:35:04,26.0275,50.55,39921.0,142.0,36531.0,3248.0,2346.1094757058568,,,0.35570251246211265,48,BHR
Bangladesh,2020-07-29 18:35:04,23.685,90.3563,232194.0,3035.0,130292.0,98867.0,140.98905209936942,,,1.307096651937604,50,BGD
Barbados,2020-07-29 18:35:04,13.1939,-59.5432,110.0,7.0,94.0,9.0,38.278044757473786,,,6.363636363636362,52,BRB
Belarus,2020-07-29 18:35:04,53.7098,27.9534,67518.0,548.0,61442.0,5528.0,714.5275306024632,,,0.8116354157409876,112,BLR
Belgium,2020-07-29 18:35:04,50.8333,4.469936,66662.0,9833.0,17476.0,39353.0,575.1873056018422,,,14.750532537277607,56,BEL
Belize,2020-07-29 18:35:04,17.1899,-88.4976,48.0,2.0,27.0,19.0,12.071797012733233,,,4.166666666666667,84,BLZ
Benin,2020-07-29 18:35:04,9.3077,2.3158,1770.0,35.0,1036.0,699.0,14.600107991307244,,,1.9774011299435028,204,BEN
Bhutan,2020-07-29 18:35:04,27.5142,90.4336,99.0,0.0,86.0,13.0,12.830282577253852,,,0.0,64,BTN
Bolivia,2020-07-29 18:35:04,-16.2902,-63.5887,72327.0,2720.0,21971.0,47636.0,619.6078155892528,,,3.760697941294399,68,BOL
Bosnia and Herzegovina,2020-07-29 18:35:04,43.9159,17.6791,11127.0,316.0,5441.0,5370.0,339.1535334970122,,,2.8399388873910314,70,BIH
Botswana,2020-07-29 18:35:04,-22.3285,24.6849,739.0,2.0,63.0,674.0,31.425078403231808,,,0.2706359945872801,72,BWA
Brunei,2020-07-29 18:35:04,4.5353,114.7277,141.0,3.0,138.0,0.0,32.229823787438605,,,2.127659574468085,96,BRN
Bulgaria,2020-07-29 18:35:04,42.7339,25.4858,10871.0,355.0,5766.0,4750.0,156.45227097573633,,,3.265568944899273,100,BGR
Burkina Faso,2020-07-29 18:35:04,12.2383,-1.5616,1105.0,53.0,931.0,121.0,5.286252232783776,,,4.796380090497737,854,BFA
Burma,2020-07-29 18:35:04,21.9162,95.956,351.0,6.0,294.0,51.0,0.6451044457179896,,,1.709401709401709,104,MMR
Burundi,2020-07-29 18:35:04,-3.3731,29.9189,378.0,1.0,301.0,76.0,3.1789333265830058,,,0.2645502645502645,108,BDI
Cabo Verde,2020-07-29 18:35:04,16.5388,-23.0418,2354.0,22.0,1616.0,716.0,423.3904328870408,,,0.9345794392523364,132,CPV
Cambodia,2020-07-29 18:35:04,11.55,104.9167,226.0,0.0,147.0,79.0,1.3517578324646893,,,0.0,116,KHM
Cameroon,2020-07-29 18:35:04,3.8480000000000003,11.5021,17179.0,391.0,14539.0,2249.0,64.71441276124972,,,2.27603469352116,120,CMR
Central African Republic,2020-07-29 18:35:04,6.6111,20.9394,4599.0,59.0,1546.0,2994.0,95.22204397564768,,,1.2828875842574472,140,CAF
Chad,2020-07-29 18:35:04,15.4542,18.7322,926.0,75.0,813.0,38.0,5.637452507050011,,,8.099352051835853,148,TCD
Comoros,2020-07-29 18:35:04,-11.6455,43.3333,354.0,7.0,328.0,19.0,40.708605730253744,,,1.9774011299435028,174,COM
Congo (Brazzaville),2020-07-29 18:35:04,-0.228,15.8277,3200.0,54.0,829.0,2317.0,57.99105922844346,,,1.6875,178,COG
Congo (Kinshasa),2020-07-29 18:35:04,-4.0383,21.7587,8931.0,210.0,6095.0,2626.0,9.97192942620685,,,2.3513604299630497,180,COD
Costa Rica,2020-07-29 18:35:04,9.7489,-83.7534,16344.0,125.0,3920.0,12299.0,320.84087635259044,,,0.7648066568771414,188,CRI
Cote d'Ivoire,2020-07-29 18:35:04,7.54,-5.5471,15713.0,98.0,10537.0,5078.0,59.567958860084666,,,0.6236873926048495,384,CIV
Croatia,2020-07-29 18:35:04,45.1,15.2,4993.0,141.0,4099.0,753.0,121.62421552015606,,,2.8239535349489286,191,HRV
Cuba,2020-07-29 18:35:04,21.521757,-77.78116700000002,2588.0,87.0,2353.0,148.0,22.84883675759821,,,3.361669242658424,192,CUB
Cyprus,2020-07-29 18:35:04,35.1264,33.4299,1080.0,19.0,852.0,209.0,89.4512908732351,,,1.7592592592592593,196,CYP
Czechia,2020-07-29 18:35:04,49.8175,15.472999999999999,15986.0,374.0,11428.0,4184.0,149.27656055449532,,,2.3395471037157507,203,CZE
Diamond Princess,2020-07-29 18:35:04,,,712.0,13.0,651.0,48.0,,,,1.8258426966292132,9999,
Djibouti,2020-07-29 18:35:04,11.8251,42.5903,5081.0,58.0,4999.0,24.0,514.2702140279068,,,1.1415075772485732,262,DJI
Dominica,2020-07-29 18:35:04,15.415,-61.371,18.0,0.0,18.0,0.0,25.003125390673837,,,0.0,212,DMA
Dominican Republic,2020-07-29 18:35:04,18.7357,-70.1627,66182.0,1123.0,33947.0,31112.0,610.0902072879701,,,1.6968359977033032,214,DOM
Ecuador,2020-07-29 18:35:04,-1.8312,-78.1834,83193.0,5623.0,35572.0,41998.0,471.53384957031267,,,6.7589821259000145,218,ECU
Egypt,2020-07-29 18:35:04,26.820553000000004,30.802497999999996,92947.0,4691.0,35959.0,52297.0,90.82673790553116,,,5.046962247302226,818,EGY
El Salvador,2020-07-29 18:35:04,13.7942,-88.8965,15841.0,430.0,8071.0,7340.0,244.22616567078325,,,2.7144750962691746,222,SLV
Equatorial Guinea,2020-07-29 18:35:04,1.6508,10.2679,3071.0,51.0,842.0,2178.0,218.89043717502327,,,1.6606968414197332,226,GNQ
Eritrea,2020-07-29 18:35:04,15.1794,39.7823,265.0,0.0,191.0,74.0,7.472309453994119,,,0.0,232,ERI
Estonia,2020-07-29 18:35:04,58.5953,25.0136,2042.0,69.0,1926.0,47.0,153.93441127626102,,,3.3790401567091086,233,EST
Eswatini,2020-07-29 18:35:04,-26.5225,31.4659,2404.0,39.0,1025.0,1340.0,207.21208380884082,,,1.622296173044925,748,SWZ
Ethiopia,2020-07-29 18:35:04,9.145,40.4897,15810.0,253.0,6685.0,8872.0,13.752180984129556,,,1.6002530044275776,231,ETH
